assertion_id,cause_concept,effect_concept,speaker,confidence,polarity,source_id,source_span,time_layer,case_id
case_c_sparta_A0000,외부충격,붕괴,media,0.853,negative,case_c_sparta_SRC000,문서_case_c_sparta_t4_p1,t4,case_c_sparta
case_c_sparta_A0001,외부충격,붕괴,media,0.796,negative,case_c_sparta_SRC000,문서_case_c_sparta_t0_p2,t0,case_c_sparta
case_c_sparta_A0002,구조적엔트로피,붕괴,media,0.975,negative,case_c_sparta_SRC000,문서_case_c_sparta_t4_p3,t4,case_c_sparta
case_c_sparta_A0003,구조적엔트로피,붕괴,media,0.767,negative,case_c_sparta_SRC001,문서_case_c_sparta_t4_p4,t4,case_c_sparta
case_c_sparta_A0004,외부충격,붕괴,official,0.569,negative,case_c_sparta_SRC001,문서_case_c_sparta_t2_p5,t2,case_c_sparta
case_c_sparta_A0005,외부충격,붕괴,official,0.999,negative,case_c_sparta_SRC001,문서_case_c_sparta_t0_p6,t0,case_c_sparta
case_c_sparta_A0006,엘리트과잉생산,제도마비,academic,0.803,negative,case_c_sparta_SRC002,문서_case_c_sparta_t3_p7,t3,case_c_sparta
case_c_sparta_A0007,외부충격,취약성노출,academic,0.721,positive,case_c_sparta_SRC002,문서_case_c_sparta_t1_p8,t1,case_c_sparta
case_c_sparta_A0008,감시약화,도덕적해이,analyst,0.965,positive,case_c_sparta_SRC002,문서_case_c_sparta_t3_p9,t3,case_c_sparta
case_c_sparta_A0009,담론사일로화,취약성증가,media,0.856,positive,case_c_sparta_SRC003,문서_case_c_sparta_t0_p10,t0,case_c_sparta
case_c_sparta_A0010,담론사일로화,취약성증가,media,0.609,positive,case_c_sparta_SRC003,문서_case_c_sparta_t3_p11,t3,case_c_sparta
case_c_sparta_A0011,외부충격,붕괴,analyst,0.588,negative,case_c_sparta_SRC003,문서_case_c_sparta_t2_p12,t2,case_c_sparta
case_c_sparta_A0012,풍요유입,구조적엔트로피,media,0.887,positive,case_c_sparta_SRC004,문서_case_c_sparta_t0_p13,t0,case_c_sparta
case_c_sparta_A0013,감시약화,도덕적해이,analyst,0.843,positive,case_c_sparta_SRC004,문서_case_c_sparta_t5_p14,t5,case_c_sparta
case_c_sparta_A0014,담론사일로화,취약성증가,media,0.641,positive,case_c_sparta_SRC004,문서_case_c_sparta_t2_p15,t2,case_c_sparta
case_c_sparta_FORCED000,외부충격,붕괴,official,0.959,negative,case_c_sparta_SRC_FORCED00,문서_case_c_sparta_t2_forced0,t2,case_c_sparta
case_c_sparta_FORCED001,외부충격,붕괴,academic,0.771,negative,case_c_sparta_SRC_FORCED01,문서_case_c_sparta_t3_forced1,t3,case_c_sparta
case_c_sparta_FORCED002,외부충격,붕괴,media,0.958,negative,case_c_sparta_SRC_FORCED02,문서_case_c_sparta_t4_forced2,t4,case_c_sparta
case_c_sparta_FORCED003,외부충격,붕괴,official,0.723,negative,case_c_sparta_SRC_FORCED03,문서_case_c_sparta_t2_forced3,t2,case_c_sparta
case_c_sparta_FORCED004,외부충격,붕괴,official,0.742,negative,case_c_sparta_SRC_FORCED04,문서_case_c_sparta_t0_forced4,t0,case_c_sparta
case_c_sparta_FORCED005,외부충격,붕괴,media,0.833,negative,case_c_sparta_SRC_FORCED05,문서_case_c_sparta_t5_forced5,t5,case_c_sparta
case_c_sparta_CHAIN00,풍요유입,구조적엔트로피,analyst,0.95,negative,case_c_sparta_SRC_CHAIN,문서_case_c_sparta_t0_chain0,t0,case_c_sparta
case_c_sparta_CHAIN01,구조적엔트로피,취약성증가,analyst,0.95,negative,case_c_sparta_SRC_CHAIN,문서_case_c_sparta_t2_chain1,t2,case_c_sparta
case_c_sparta_CHAIN02,취약성증가,붕괴,analyst,0.95,negative,case_c_sparta_SRC_CHAIN,문서_case_c_sparta_t4_chain2,t4,case_c_sparta
