assertion_id,cause_concept,effect_concept,speaker,confidence,polarity,source_id,source_span,time_layer,case_id
case_a_korea1997_A0000,엘리트과잉생산,제도마비,academic,0.531,negative,case_a_korea1997_SRC000,문서_case_a_korea1997_t5_p1,t5,case_a_korea1997
case_a_korea1997_A0001,풍요유입,구조적엔트로피,analyst,0.721,positive,case_a_korea1997_SRC000,문서_case_a_korea1997_t2_p2,t2,case_a_korea1997
case_a_korea1997_A0002,외부충격,취약성노출,academic,0.981,positive,case_a_korea1997_SRC000,문서_case_a_korea1997_t4_p3,t4,case_a_korea1997
case_a_korea1997_A0003,외부충격,붕괴,academic,0.939,negative,case_a_korea1997_SRC001,문서_case_a_korea1997_t2_p4,t2,case_a_korea1997
case_a_korea1997_A0004,담론사일로화,취약성증가,analyst,0.663,positive,case_a_korea1997_SRC001,문서_case_a_korea1997_t0_p5,t0,case_a_korea1997
case_a_korea1997_A0005,담론사일로화,취약성증가,analyst,0.592,positive,case_a_korea1997_SRC001,문서_case_a_korea1997_t3_p6,t3,case_a_korea1997
case_a_korea1997_A0006,엘리트과잉생산,제도마비,official,0.791,negative,case_a_korea1997_SRC002,문서_case_a_korea1997_t0_p7,t0,case_a_korea1997
case_a_korea1997_A0007,엘리트과잉생산,제도마비,analyst,0.607,negative,case_a_korea1997_SRC002,문서_case_a_korea1997_t0_p8,t0,case_a_korea1997
case_a_korea1997_A0008,유동성급증,레버리지확대,academic,0.994,positive,case_a_korea1997_SRC002,문서_case_a_korea1997_t4_p9,t4,case_a_korea1997
case_a_korea1997_A0009,유동성급증,레버리지확대,analyst,0.61,positive,case_a_korea1997_SRC003,문서_case_a_korea1997_t5_p10,t5,case_a_korea1997
case_a_korea1997_A0010,외부충격,붕괴,analyst,0.84,negative,case_a_korea1997_SRC003,문서_case_a_korea1997_t2_p11,t2,case_a_korea1997
case_a_korea1997_A0011,풍요유입,구조적엔트로피,media,0.958,positive,case_a_korea1997_SRC003,문서_case_a_korea1997_t4_p12,t4,case_a_korea1997
case_a_korea1997_A0012,구조적엔트로피,붕괴,official,0.835,negative,case_a_korea1997_SRC004,문서_case_a_korea1997_t0_p13,t0,case_a_korea1997
case_a_korea1997_A0013,외부충격,붕괴,media,0.586,negative,case_a_korea1997_SRC004,문서_case_a_korea1997_t1_p14,t1,case_a_korea1997
case_a_korea1997_A0014,유동성급증,레버리지확대,academic,0.788,positive,case_a_korea1997_SRC004,문서_case_a_korea1997_t1_p15,t1,case_a_korea1997
case_a_korea1997_A0015,엘리트과잉생산,제도마비,media,0.526,negative,case_a_korea1997_SRC005,문서_case_a_korea1997_t1_p16,t1,case_a_korea1997
case_a_korea1997_A0016,담론사일로화,취약성증가,media,0.618,positive,case_a_korea1997_SRC005,문서_case_a_korea1997_t2_p17,t2,case_a_korea1997
case_a_korea1997_A0017,외부충격,붕괴,official,0.524,negative,case_a_korea1997_SRC005,문서_case_a_korea1997_t3_p18,t3,case_a_korea1997
case_a_korea1997_A0018,외부충격,붕괴,academic,0.926,negative,case_a_korea1997_SRC006,문서_case_a_korea1997_t3_p19,t3,case_a_korea1997
case_a_korea1997_A0019,외부충격,붕괴,media,0.736,negative,case_a_korea1997_SRC006,문서_case_a_korea1997_t4_p20,t4,case_a_korea1997
case_a_korea1997_A0020,풍요유입,구조적엔트로피,official,0.962,positive,case_a_korea1997_SRC006,문서_case_a_korea1997_t5_p21,t5,case_a_korea1997
case_a_korea1997_A0021,풍요유입,구조적엔트로피,analyst,0.754,positive,case_a_korea1997_SRC007,문서_case_a_korea1997_t0_p22,t0,case_a_korea1997
case_a_korea1997_A0022,구조적엔트로피,붕괴,analyst,0.62,negative,case_a_korea1997_SRC007,문서_case_a_korea1997_t1_p23,t1,case_a_korea1997
case_a_korea1997_A0023,엘리트과잉생산,제도마비,academic,0.951,negative,case_a_korea1997_SRC007,문서_case_a_korea1997_t4_p24,t4,case_a_korea1997
case_a_korea1997_A0024,외부충격,붕괴,academic,0.854,negative,case_a_korea1997_SRC008,문서_case_a_korea1997_t2_p25,t2,case_a_korea1997
case_a_korea1997_A0025,엘리트과잉생산,제도마비,analyst,0.976,negative,case_a_korea1997_SRC008,문서_case_a_korea1997_t2_p26,t2,case_a_korea1997
case_a_korea1997_A0026,외부충격,붕괴,academic,0.79,negative,case_a_korea1997_SRC008,문서_case_a_korea1997_t2_p27,t2,case_a_korea1997
case_a_korea1997_FORCED000,외부충격,붕괴,media,0.868,negative,case_a_korea1997_SRC_FORCED00,문서_case_a_korea1997_t1_forced0,t1,case_a_korea1997
case_a_korea1997_FORCED001,외부충격,붕괴,media,0.805,negative,case_a_korea1997_SRC_FORCED01,문서_case_a_korea1997_t0_forced1,t0,case_a_korea1997
case_a_korea1997_FORCED002,외부충격,붕괴,media,0.919,negative,case_a_korea1997_SRC_FORCED02,문서_case_a_korea1997_t2_forced2,t2,case_a_korea1997
case_a_korea1997_FORCED003,외부충격,붕괴,academic,0.751,negative,case_a_korea1997_SRC_FORCED03,문서_case_a_korea1997_t5_forced3,t5,case_a_korea1997
case_a_korea1997_FORCED004,외부충격,붕괴,academic,0.875,negative,case_a_korea1997_SRC_FORCED04,문서_case_a_korea1997_t3_forced4,t3,case_a_korea1997
case_a_korea1997_FORCED005,외부충격,붕괴,official,0.904,negative,case_a_korea1997_SRC_FORCED05,문서_case_a_korea1997_t4_forced5,t4,case_a_korea1997
case_a_korea1997_FORCED006,외부충격,붕괴,official,0.708,negative,case_a_korea1997_SRC_FORCED06,문서_case_a_korea1997_t0_forced6,t0,case_a_korea1997
case_a_korea1997_FORCED007,외부충격,붕괴,analyst,0.717,negative,case_a_korea1997_SRC_FORCED07,문서_case_a_korea1997_t0_forced7,t0,case_a_korea1997
case_a_korea1997_FORCED008,외부충격,붕괴,analyst,0.855,negative,case_a_korea1997_SRC_FORCED08,문서_case_a_korea1997_t5_forced8,t5,case_a_korea1997
case_a_korea1997_FORCED009,외부충격,붕괴,academic,0.749,negative,case_a_korea1997_SRC_FORCED09,문서_case_a_korea1997_t5_forced9,t5,case_a_korea1997
case_a_korea1997_CHAIN00,풍요유입,구조적엔트로피,analyst,0.95,negative,case_a_korea1997_SRC_CHAIN,문서_case_a_korea1997_t0_chain0,t0,case_a_korea1997
case_a_korea1997_CHAIN01,구조적엔트로피,취약성증가,analyst,0.95,negative,case_a_korea1997_SRC_CHAIN,문서_case_a_korea1997_t2_chain1,t2,case_a_korea1997
case_a_korea1997_CHAIN02,취약성증가,붕괴,analyst,0.95,negative,case_a_korea1997_SRC_CHAIN,문서_case_a_korea1997_t4_chain2,t4,case_a_korea1997
